country,year,yield_tons_ha,avg_temp,total_rainfall,avg_humidity,avg_solar,country_encoded
Argentina,2000,2.4905,15.15120218579235,575.42,60.46122950819672,17.690601092896177,0
Argentina,2001,2.2354000000000003,15.742493150684933,765.38,63.60712328767123,16.864164383561643,0
Argentina,2002,2.0332,15.475342465753425,648.46,57.97260273972603,16.75095890410959,0
Argentina,2003,2.5391999999999997,16.28142465753425,478.46,52.05443835616438,17.647232876712327,0
Argentina,2004,2.6271,15.79256830601093,779.73,62.19453551912569,16.90833333333333,0
Argentina,2005,2.5309,15.586712328767122,440.40999999999997,54.95928767123287,17.33205479452055,0
Argentina,2006,2.6258000000000004,16.286109589041097,504.38,53.266465753424654,17.673479452054792,0
Argentina,2007,2.8306,14.875726027397262,587.77,57.10704109589041,17.789397260273972,0
Argentina,2008,1.9633,16.580382513661203,390.56,52.95617486338798,18.020601092896175,0
Argentina,2009,2.7571,16.56284931506849,369.52,47.60523287671233,17.853178082191782,0
Argentina,2010,3.5034,15.483808219178083,536.29,55.38460273972603,17.67805479452055,0
Argentina,2011,3.2251,15.817534246575342,580.61,55.31717808219178,17.803643835616437,0
Argentina,2012,2.6584,15.79928961748634,631.0,56.57035519125683,17.428852459016394,0
Argentina,2013,2.6619,16.111808219178084,543.15,54.57665753424657,17.531561643835616,0
Argentina,2014,2.81,15.342630136986303,797.51,64.26805479452055,17.372712328767122,0
Argentina,2015,2.8623000000000003,15.83254794520548,592.18,58.2654794520548,17.22068493150685,0
Argentina,2016,3.3047,15.457103825136613,581.56,63.00510928961749,17.087868852459017,0
Argentina,2017,3.1806,15.826712328767123,736.68,61.99638356164384,17.527369863013696,0
Argentina,2018,3.216,16.21564383561644,619.23,56.03408219178082,17.44750684931507,0
Argentina,2019,2.9387,16.047315068493152,398.77,52.3678904109589,17.902849315068494,0
Argentina,2020,2.7595,15.545765027322405,607.74,58.355737704918035,18.04377049180328,0
Argentina,2021,3.3825,15.953123287671234,619.59,60.07706849315069,17.78008219178082,0
Argentina,2022,2.2876,15.306794520547944,601.1,57.250602739726034,17.670876712328766,0
Argentina,2023,2.8434,16.406164383561645,492.49,54.23761643835616,17.273123287671233,0
Australia,2000,1.8209000000000002,21.445054644808746,473.31,43.44978142076503,21.829371584699455,1
Australia,2001,2.1075999999999997,20.958356164383563,534.6899999999999,44.30186301369863,21.305150684931508,1
Australia,2002,0.907,22.4193698630137,127.41,29.25035616438356,22.973534246575344,1
Australia,2003,1.9998,22.12695890410959,243.62,34.45465753424658,22.523917808219178,1
Australia,2004,1.6348,22.395081967213116,217.94,35.76806010928962,22.507486338797815,1
Australia,2005,2.0213,22.73427397260274,173.61,32.18991780821918,23.050575342465752,1
Australia,2006,0.9173,22.731835616438357,107.82000000000001,32.059780821917805,23.00849315068493,1
Australia,2007,1.0788,22.380438356164383,186.94,33.71745205479452,23.013835616438353,1
Australia,2008,1.5831,22.02292349726776,182.86,32.700710382513655,22.89934426229508,1
Australia,2009,1.5729000000000002,22.49904109589041,126.45,33.70386301369863,23.45654794520548,1
Australia,2010,2.0301,20.227479452054794,536.63,49.748383561643834,21.689753424657535,1
Australia,2011,2.1511,21.14035616438356,443.76000000000005,45.68627397260274,21.529890410958902,1
Australia,2012,1.7609000000000001,21.41092896174863,221.85,36.85560109289617,22.690300546448086,1
Australia,2013,2.0061,22.858054794520548,179.62,34.60704109589041,22.547808219178084,1
Australia,2014,1.9172,22.1481095890411,224.65,37.508876712328764,22.697616438356164,1
Australia,2015,1.9743,22.030630136986304,159.49,35.29849315068493,22.755287671232878,1
Australia,2016,2.61,22.46822404371585,113.75,36.30101092896175,21.67568306010929,1
Australia,2017,1.9178,23.06276712328767,48.56,30.589041095890412,22.842821917808216,1
Australia,2018,1.6917,22.916849315068493,44.76,29.732904109589043,23.250465753424656,1
Australia,2019,1.4681,23.186931506849312,15.569999999999999,27.522328767123287,24.44164383561644,1
Australia,2020,2.5249,22.3772131147541,114.23,33.27672131147541,22.876775956284153,1
Australia,2021,2.847,21.641205479452054,199.49,34.864219178082195,22.76964383561644,1
Australia,2022,3.1875,21.525917808219177,271.24,38.207068493150686,21.7467397260274,1
Australia,2023,2.6675999999999997,22.45805479452055,234.49,36.17731506849315,22.70495890410959,1
Bangladesh,2000,2.2104,25.157158469945358,1866.39,75.85726775956283,16.786803278688524,2
Bangladesh,2001,2.1643000000000003,25.374219178082193,1914.03,74.02219178082191,16.736931506849317,2
Bangladesh,2002,2.1644,25.52191780821918,1861.72,74.72769863013698,16.216109589041096,2
Bangladesh,2003,2.1327,25.420739726027396,1640.41,75.72942465753425,16.636164383561642,2
Bangladesh,2004,1.9527,25.475792349726774,2056.9,75.30997267759562,16.472349726775956,2
Bangladesh,2005,1.7478,25.657561643835617,1899.46,76.61638356164383,16.369068493150685,2
Bangladesh,2006,1.5344,25.738082191780823,1697.72,74.90383561643836,16.561616438356165,2
Bangladesh,2007,1.8471,25.134520547945208,2554.86,76.47819178082192,16.26019178082192,2
Bangladesh,2008,2.1753,25.443907103825136,1604.27,76.178087431694,16.199945355191257,2
Bangladesh,2009,2.1515999999999997,25.830383561643835,1906.64,74.97706849315068,16.621753424657534,2
Bangladesh,2010,2.3959,25.854849315068495,1827.0,76.04320547945206,16.537424657534245,2
Bangladesh,2011,2.6012,25.48832876712329,1697.03,74.77953424657534,16.042931506849314,2
Bangladesh,2012,2.7789,25.441748633879783,1508.0,73.14693989071039,16.26396174863388,2
Bangladesh,2013,3.0138000000000003,25.484712328767124,1829.22,74.88005479452055,16.326082191780824,2
Bangladesh,2014,3.0319000000000003,25.994684931506846,1686.91,72.26857534246575,16.525205479452055,2
Bangladesh,2015,3.086,25.86572602739726,2250.43,73.93479452054795,15.480630136986303,2
Bangladesh,2016,3.031,26.19243169398907,2912.76,76.95147540983606,15.940081967213114,2
Bangladesh,2017,3.1576,25.238082191780823,4914.96,81.63043835616439,15.601287671232878,2
Bangladesh,2018,3.1302,25.065123287671234,2797.86,78.94482191780823,15.769150684931507,2
Bangladesh,2019,3.078,25.667287671232874,3000.17,77.42383561643835,16.114849315068493,2
Bangladesh,2020,3.097,25.111666666666668,2923.72,80.98584699453552,15.547677595628414,2
